Site-name,url,datetime,data,twitter,facebook,other,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-no-photo-of-man-carrying-calf-on-his-shoulder-is-not-india/articleshow/70637720.cms,2019-08-12T11:59:19+05:30,Photo of man carrying calf on his shoulder is from Kerala,https://twitter.com/manoj_naandi/status/1160060801505320960,,https://static.toiimg.com/img/70639016/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-old-video-shared-as-kashmiri-women-protesting-abrogation-of-article-370/articleshow/70590867.cms,2019-08-08T19:43:25+05:30,Old video shared to claim Kashmiris protesting,https://twitter.com/Rubina55Aziz/status/1159123974334439425,,https://static.toiimg.com/img/70591007/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-jammu-and-kashmir-flag-hasnt-been-removed-from-civil-secretariat-in-srinagar-yet/articleshow/70585325.cms,2019-08-08T14:27:26+05:30,Jammu and Kashmir state flag has been removed from atop civil secretariat in Srinagar,https://twitter.com/geeta_phogat/status/1158668700683243521,,https://static.toiimg.com/img/70585500/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-has-government-taken-over-mosques-in-kashmir/articleshow/70572823.cms,2019-08-07T18:37:06+05:30,Old  unrelated photos of weapons and arms are being shared with false claim.,https://twitter.com/shamlipolice/status/1155762223555366912,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2F1216973785109634%2Fphotos%2Fa.1274160319390980%2F1274160322724313%2F%3Ftype%3D3&width=500,https://static.toiimg.com/img/70572995/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-2018-video-viral-with-false-claim-that-indian-army-is-burning-houses-in-kashmir/articleshow/70570005.cms,2019-08-07T17:38:38+05:30,Indian Army is burning down houses in Kashmir,,https://www.facebook.com/RightsOfKashmir/videos/455635248325029,https://static.toiimg.com/img/70570568/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-girl-who-asked-up-police-about-unnao-rape-case-not-going-to-school-anymore/articleshow/70566797.cms,2019-08-07T13:23:05+05:30,Schoolgirl who asked questions to UP Police regarding Unnao rape case has stopped going to school,https://twitter.com/LambaAlka/status/1157530179171835904,,,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-truth-behind-photo-showing-pakistani-soldiers-carrying-white-flags/articleshow/70552255.cms,2019-08-06T16:39:13+05:30,Pakistan Army called for truce at LoC raising a white flag,https://twitter.com/sharmaAvl/status/1157909019534618626,,https://static.toiimg.com/img/70553136/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-mock-drill-video-shared-as-terrorist-killed-in-gujarat-temple/articleshow/70537843.cms,2019-08-05T18:11:15+05:30,Mock drill video shared as terror attack,,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fambajitempleofficial%2Fposts%2F2471845943086971&width=500,,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-sms-offering-land-for-sale-in-kashmir-is-a-hoax/articleshow/70536384.cms,2019-08-05T18:02:05+05:30,Land available for sale in Kashmir's Srinagar,,,https://static.toiimg.com/img/70536723/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-no-sunita-williams-hasnt-converted-to-islam/articleshow/70481713.cms,2019-08-01T16:22:01+05:30,Fake video about Sunita Williams converting to Islam is going viral.,,https://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2F359186084760971%2Fvideos%2F2413183635629004%2F&show_text=0&width=560,,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-photo-of-sex-racket-gang-shared-as-hindu-terrorists-caught-in-allahabad/articleshow/70469604.cms,2019-08-01T14:08:40+05:30,An image with a group of people surrounded by police officials is going viral on WhatsApp with the insinuation that 25 “Hindu terrorists” were caught making bombs in the hostel of Allahabad university.,,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2F366668990101845%2Fphotos%2Fa.665256083576466%2F2402285903206800%2F%3Ftype%3D3&width=500,https://static.toiimg.com/img/70469645/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-news-of-muslim-boy-set-ablaze-for-not-chanting-jai-shri-ram-is-fake/articleshow/70433608.cms,2019-07-29T16:58:57+05:30,Fake news is being spread that a Muslim boy was set on fire for his refusal to chant 'Jai Shri Ram'.,https://twitter.com/ashoswai/status/1155692900543426565,https://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2Fsp.chandauli%2Fvideos%2F1194757564067470%2F&show_text=0&width=560,https://static.toiimg.com/img/70433609/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-has-chandrayaan-2-sent-first-photographs-of-earth/articleshow/70410947.cms,2019-07-27T18:42:00+05:30,Fake images from Chandrayaan 2,https://twitter.com/Dopeenough/status/1154710123886997505,https://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2Faksharakishorofficial%2Fvideos%2F2334837516779348%2F&show_text=0&width=476,https://static.toiimg.com/img/70410972/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-clat-website-tries-to-cheat-wait-listed-aspirants-by-offering-admission/articleshow/70410279.cms,2019-07-27T17:45:06+05:30,Fake mail to dupe CLAT aspirants,,,https://static.toiimg.com/img/70410357/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-did-gujarat-police-seize-weapons-from-a-mosque-in-the-state/articleshow/70375863.cms,2019-07-25T13:29:28+05:30,Weapons were seized from a mosque in Gujarat,,https://www.facebook.com/political.shiva.in/photos/a.564404364043649/634633103687441/?type=3&theater,https://static.toiimg.com/img/70376196/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-fake-post-claiming-baba-ramdev-got-his-knee-operated-in-germany-goes-viral/articleshow/70362854.cms,2019-07-24T16:33:24+05:30,Many social media users are attacking yoga guru using the fake post.,,,https://static.toiimg.com/img/70362890/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-truth-behind-video-showing-muslim-kids-enacting-suicide-bombing/articleshow/70346210.cms,2019-07-23T16:26:12+05:30,Muslim parents are training their kids to be terrorists.,https://twitter.com/ethan_mi7/status/1153266911452573702,,,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-video-of-algerian-fans-celebrating-football-win-shared-as-crowd-gathered-for-imran-khan-in-usa/articleshow/70330890.cms,2019-07-22T17:30:10+05:30,Video of huge crowd from Algeria used to claim it happened during Imran Khan's visit in US.,https://twitter.com/IM_Bukhari1/status/1152949944564748288,,,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-mandsaur-school-students-did-not-raise-pakistan-zindabad-slogan/articleshow/70290474.cms,2019-07-19T15:22:53+05:30,Students of Mandsaur school raised 'Pakistan Zindabad' slogan,https://twitter.com/agraharishivam7/status/1150775994380275712,,https://static.toiimg.com/img/70291355/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-this-3-month-old-child-did-not-die-in-bihar-floods-he-was-killed-by-his-mother/articleshow/70278520.cms,2019-07-18T17:50:46+05:30,Photo of a dead kid is being shared with a false claim to target NDA government in Bihar.,https://twitter.com/VnsAnuTi/status/1151516993134063617,,https://static.toiimg.com/img/70278725/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-prime-accused-in-university-college-stabbing-not-a-kerala-cop/articleshow/70275563.cms,2019-07-18T17:12:01+05:30,SFI leader R Siva Renjith is one of the policemen deputed at Sabarimala last year,,https://www.facebook.com/sadeesh.manchady/posts/2452378418139295,https://static.toiimg.com/img/70276254/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-bjp-mlas-daughter-sakshi-mishra-did-not-marry-a-man-twice-her-age/articleshow/70263169.cms,2019-07-17T19:24:24+05:30,A graphic card going viral mentions fake age of Sakshi and Ajitesh to show age gap of 31 years between the two.,,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fphoto.php%3Ffbid%3D1421899837951630%26set%3Da.126952777446349%26type%3D3&width=500,https://static.toiimg.com/img/70263501/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-2013-video-viral-as-that-of-dongri-building-collapse-captured-live/articleshow/70256269.cms,2019-07-17T14:20:35+05:30,Video of Dongri building collapse captured live,https://twitter.com/arpitajtweets/status/1151145591902261248,,https://static.toiimg.com/img/70256737/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/rahul-gandhi-uses-old-photos-while-tweeting-about-floods-in-5-states/articleshow/70246162.cms,2019-07-16T18:25:30+05:30,Rahul used old images to tweet about people affected by floods.,,,https://static.toiimg.com/img/70246163/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-no-this-video-is-not-of-ivanka-trump-visiting-a-hyderabad-hospital/articleshow/70240795.cms,2019-07-16T14:01:56+05:30,Ivanka Trump visited Hyderabad hospital and praised Akbaruddin Owaisi,https://twitter.com/ANI/status/935920860833054720,https://www.facebook.com/imran.chouhan.948494/videos/312394602977909/,https://static.toiimg.com/img/70241338/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-study-material-talking-about-advantages-of-dowry-is-not-from-gujarat/articleshow/70222650.cms,2019-07-15T11:39:51+05:30,Study material endorsing dowry system is from Gujarat Education Board,https://twitter.com/kavithalankesh/status/1150454712681918469,,https://static.toiimg.com/img/70222869/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-photo-of-hindu-woman-forced-by-muslim-in-laws-to-convert-shared-with-false-claims/articleshow/70175763.cms,2019-07-11T18:51:23+05:30,"A photo of a middle-aged woman is being shared with claims that she converted to Islam becuase “Hindus drink cow urine” and ""practice untouchability with Dalits"".",,,https://static.toiimg.com/img/70175832/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-images-of-crying-photographer-has-nothing-to-do-with-ms-dhoni/articleshow/70175193.cms,2019-07-11T18:05:57+05:30,Photographer cried after MS Dhoni's wicket fell in the India-New Zealand World Cup semi-final match,https://twitter.com/nagraj_07/status/1149176913136508928,,https://static.toiimg.com/img/70175497/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-video-showing-littered-cabin-is-not-of-an-air-india-plane/articleshow/70156540.cms,2019-07-10T16:36:43+05:30,Video showing littered cabin is of an Air India plane,https://twitter.com/thedeepikadas/status/1148813250756112384,,https://static.toiimg.com/img/70157901/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-video-from-morocco-shared-as-attack-on-muslim-woman-in-india/articleshow/70157916.cms,2019-07-10T16:08:31+05:30,"A video of a burqa-clad woman being attacked by a few men with eggs,  bottles and white powder is being shared on Twitter with the claim that the incident happened in India.",,,https://static.toiimg.com/img/70158071/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-are-petitioners-who-fought-for-womens-entry-into-sabarimala-muslims/articleshow/70141873.cms,2019-07-09T16:32:29+05:30,Petitioners who fought for women's entry into Sabarimala temple are Muslims,https://twitter.com/jpsin1/status/1148257961459892225,https://www.facebook.com/R.SardanaFansClub/photos/a.829134440778739/888701034822079/?type=3&theater,https://static.toiimg.com/img/70142662/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-muslims-in-agra-protested-against-tabrez-ansaris-lynching-chanting-allah-hu-akbar/articleshow/70128157.cms,2019-07-08T16:51:16+05:30,Several Facebook users are claiming that a violent mob chanted communally provocative slogans to protest against Tabrez Ansari's lynching.,,https://www.facebook.com/plugins/video.php?href=https%3A%2F%2Fwww.facebook.com%2F927766747373562%2Fvideos%2F2405126279702675%2F&show_text=0&width=560,https://static.toiimg.com/img/70128424/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-misinformation-about-whatsapp-widely-circulated-on-whatsapp/articleshow/70073167.cms,2019-07-04T17:37:46+05:30,"WhatsApp will turn off from 11.30 PM to 6 AM,  Mukesh Ambani bought WhatsApp",,,https://static.toiimg.com/img/70074378/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-no-unesco-has-not-declared-islam-as-the-worlds-most-peaceful-religion/articleshow/70071918.cms,2019-07-04T15:17:40+05:30,UNESCO declares Islam as world’s most peaceful religion.,https://twitter.com/RadioPakistan/status/752442948722229248,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2F1643122042604140%2Fphotos%2Fa.1691860637730280%2F2296272217289116%2F%3Ftype%3D3&width=500,,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-hindi-tv-serial-stills-shared-as-kashmiri-journalist-beaten-by-indian-army/articleshow/70878492.cms,2019-08-28T19:11:38+05:30,Fake Alert: Hindi TV serial stills shared as Kashmiri journalist beaten by Indian Army,https://twitter.com/arbazkhan158/status/1166271906410049537,,https://static.toiimg.com/img/70845008/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-video-from-meerut-shared-as-that-of-madrassa-teacher-killed-in-old-delhi/articleshow/70872989.cms,2019-08-28T13:52:04+05:30,Video claiming madrassa teacher was thrashed to death in Old Delhi,https://twitter.com/TheSamirAbbas/status/1166593808081018881,,https://static.toiimg.com/img/70873738/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-is-japanese-government-disposing-off-all-microwave-ovens/articleshow/70860978.cms,2019-08-27T18:40:17+05:30,A viral WhatsApp message claims that Japan is banning microwave ovens.,,,https://static.toiimg.com/img/70861113/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-photo-from-gaza-passed-off-as-one-clicked-in-kashmir/articleshow/70858192.cms,2019-08-27T16:46:09+05:30,Photo of woman carrying infant with bloodied face is a recent one from Kashmir,,https://www.facebook.com/Kashmiriiat/photos/a.1266477760176225/1351384768352190/?type=3,https://static.toiimg.com/img/70858478/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-video-of-pune-woman-abusing-army-shared-as-sikh-woman-kidnapped-by-indian-army/articleshow/70844969.cms,2019-08-26T19:32:38+05:30,"Video of a woman,  confronted by Police for ramming her car into three other cars,  is going viral with false claim.",https://twitter.com/Savitritvs/status/1165937200539635712,,,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-old-video-from-haryana-shared-as-police-thrashing-women-in-kashmir/articleshow/70837089.cms,2019-08-26T12:51:15+05:30,Police brutality on women in Kashmir post abrogation of Article 370,,https://www.facebook.com/107683490599506/videos/903204706719308/?__xts__[0]=68.ARBrsZDffFtdDbcq_iu4Hl3PvEHUL_eWtmqsXAp8zKyZq0bUPS5DzP1qB16UNPDYnChFvnacTKQ17kId8_X-aodEQWuvLOOGYtu-uHCDJyLqXJfQC_fw_CrkIe_cXin6KhUWwsO0HrqPGwFe9t7fPtoSAl6VYgbJYNZnQvYXnbnuh8riLr_lqzCr9fMu38dvhUoQa8TzHzUOgW9w6NJvFpoVl_48nWQvY9JWWoUApP01NjOYiZw7konZf2XJejyvPIeiuBbxycE-u7c3UAD9XBV1sKTq8nCIYdqz8k0W9ZKVzJf7r4rdIGKmp61UD4j4pmQa8X7yhdLiPmsn0YLJ1yuNMTlZMbVtlGI&__tn__=-R,https://static.toiimg.com/img/70838141/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/no-sachin-tendulkar-is-not-pakistan-pm-imran-khan/articleshow/69923242.cms,2019-06-24T16:46:37+05:30,Photo of Sachin Tendulkar shared as Imran Khan's,https://twitter.com/naeemul_haque/status/1142152323877281792,,https://static.toiimg.com/img/69924888/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-congress-makes-false-claim-of-pm-modi-inaugurating-a-bridge-that-collapsed/articleshow/69904951.cms,2019-06-22T17:58:53+05:30,West Bengal Congress tweeted a picture of a collapsed bridge and said it was inaugurated by PM Modi.,https://twitter.com/INCWestBengal/status/1141713814544478213,,,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-no-this-is-not-a-photo-of-shashi-tharoor-with-wives-of-pakistani-cricketers/articleshow/69887271.cms,2019-06-21T14:02:05+05:30,Shashi Tharoor is posing with wives of Pakistani cricketers,https://twitter.com/ShashiTharoor/status/965296632546803712,https://www.facebook.com/photo.php?fbid=875075609495672&set=a.102740696729171&type=3&theater,https://static.toiimg.com/img/69888623/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-has-priyanka-chopra-joined-rss/articleshow/69874504.cms,2019-06-20T16:52:12+05:30,A photo of actress Priyanka Chopra wearing khaki pleated shorts is being shared with the claim that she has joined the Rashtriya Swayamsevak Sangh (RSS).,https://twitter.com/Sassy_Soul_/status/1140669407040950272,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FTheskepticalindian%2Fphotos%2Fa.1779736268923991%2F2452226841674927%2F%3Ftype%3D3&width=500,https://static.toiimg.com/img/69874620/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-did-this-american-woman-give-birth-to-17-baby-boys-at-once/articleshow/69871013.cms,2019-06-20T14:13:16+05:30,American woman delivered 17 baby boys all at once,https://twitter.com/OfficialKvist/status/1132250032105754624,,https://static.toiimg.com/img/69871428/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-did-cars-in-saudi-arabia-melt-due-to-high-temperature/articleshow/69827362.cms,2019-06-17T18:36:48+05:30,Several social media users are posting images of melted cars and street lights claiming that it is due to the extreme heat wave in Saudi Arabia and Kuwait.,https://twitter.com/Jacquekourouss/status/1140314186448351232,,https://static.toiimg.com/img/69827433/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/viral-video-of-boston-dynamics-robot-attacking-humans-is-a-parody-video/articleshow/69824048.cms,2019-06-17T15:59:50+05:30,Video showing humanoid robot attacking humans is from Boston Dynamics,https://twitter.com/kocizum/status/1139615763336171525,,,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-photo-of-father-kid-shared-saying-islam-promotes-paedophilia/articleshow/69768725.cms,2019-06-13T14:20:02+05:30,Photo of father and daughter used to claim Islam promotes paedophilia,https://twitter.com/squintneon/status/1137619447940755456,,https://static.toiimg.com/img/69769162/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-no-nipah-virus-outbreak-in-west-bengals-siliguri/articleshow/69754019.cms,2019-06-12T15:06:13+05:30,Nipah virus outbreak in West Bengal's Siliguri,,,https://static.toiimg.com/img/69754230/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-photo-of-aamir-khans-niece-used-to-claim-she-is-sambit-patras-daughter/articleshow/69741556.cms,2019-06-11T17:24:05+05:30,Photo of Aamir Khan’s niece used to claim she is Sambit Patra’s daughter,https://twitter.com/RishavSharmaIyc/status/1136094139844444160,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fpermalink.php%3Fstory_fbid%3D2263192417329536%26id%3D100009163982803&width=500,https://static.toiimg.com/img/69741766/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-kerala-nurse-present-at-the-time-of-rahul-gandhis-birth-was-13-years-old-then/articleshow/69737522.cms,2019-06-11T15:02:27+05:30,Kerala nurse who was present when Rahul Gandhi was born was only 13 years of age then,https://twitter.com/MuralikrishnaE1/status/1137674055715155970,,https://static.toiimg.com/img/69738099/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-this-modi-lookalike-is-neither-pms-brother-nor-are-his-photos-digitally-manipulated/articleshow/69725413.cms,2019-06-10T18:41:37+05:30,Auto-rickshaw driver who resembles PM Modi is prime minister's younger brother,,https://www.facebook.com/YogiSarkarr/photos/a.1191376597634151/1978258215612648/?type=3&theater,https://static.toiimg.com/img/69725531/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-photo-of-shahnawaz-hussain-and-murli-manohar-joshi-circulated-with-false-claims/articleshow/69723494.cms,2019-06-10T14:23:55+05:30,Fake news about Murli's daughter marrying Hussain is being circulated.,https://twitter.com/Asmaparveen77/status/1136713323574173696,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fdarshanlal.yadav%2Fposts%2F2128381697268400&width=500,,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-did-farooq-abdullah-chant-bharat-mata-ki-jai-on-amit-shah-becoming-home-minister/articleshow/69671129.cms,2019-06-06T11:22:14+05:30,Farooq Abdullah chanted Bharat Mata Ki Jai after Amit Shah became home minister,https://twitter.com/IntolerantMano2/status/1134703912911400961,,https://static.toiimg.com/img/69671376/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-did-hyderabad-police-claim-soft-drinks-contain-ebola-virus/articleshow/69650217.cms,2019-06-04T17:31:42+05:30,A viral message quotes Hyderbad Police as saying that consuming soft-drinks can lead to spread of ebola virus.,,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2FrekhaarunvermaMP%2Fposts%2F1962651157087573&width=500,https://static.toiimg.com/img/69650269/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-no-ips-officer-d-roopa-did-not-refuse-any-award-by-modi-government/articleshow/69644938.cms,2019-06-04T12:33:44+05:30,IPS officer D Roopa refused an award given by Modi government,https://twitter.com/D_Roopa_IPS/status/1135218266685681666,https://www.facebook.com/photo.php?fbid=1011994575665520&set=a.306596699538648&type=3&theater,https://static.toiimg.com/img/69645179/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-did-barack-obama-watch-pm-modis-swearing-in-ceremony/articleshow/69635523.cms,2019-06-03T18:12:27+05:30,An image of Obama watching PM Modi's swearing-in ceremony is going viral on social media.,https://twitter.com/Manasisutar1999/status/1134107219111243779,https://www.facebook.com/plugins/post.php?href=https%3A%2F%2Fwww.facebook.com%2Fphoto.php%3Ffbid%3D704287013307472%26set%3Da.122472281488951%26type%3D3&width=500,,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-old-photos-passed-off-as-ones-from-slain-militant-zakir-musas-funeral/articleshow/69593441.cms,2019-05-31T15:24:07+05:30,Old photos passed off as ones clicked at slain militant Zakir Musa's funeral,,https://www.facebook.com/aarizrafeeqmir/posts/2442942029084327,https://static.toiimg.com/img/69596134/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fake-alert-this-woman-is-not-an-indian-soldier-on-duty-in-rajasthan/articleshow/69580029.cms,2019-05-30T16:15:03+05:30,Woman's photo shared she is an Indian soldier posted in a desert in Rajasthan,https://twitter.com/bhai_rampal/status/1134002633423769600,https://www.facebook.com/IndianSena1/photos/a.207121890012444/387409638650334/?type=3&theater,https://static.toiimg.com/img/69580487/Master.jpg,
Times of India,https://timesofindia.indiatimes.com/times-fact-check/news/fact-check-did-people-in-balochistan-celebrate-bjp-election-win/articleshow/69572898.cms,2019-05-30T12:49:27+05:30,People in Balochistan celebrated BJP election win,https://twitter.com/BJP4JnK/status/1112310947878625281,https://www.facebook.com/watch/?v=1612705622207485,https://static.toiimg.com/img/69573579/Master.jpg,
